,rxn_id,temperature,ligand,solvent,precursor,base,cosolvent
73166,73166,85,XPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
75422,75422,85,CyPPh2,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
84446,84446,100,BippyPhos,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
71006,71006,85,P(4-CF3-C6H4)3,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
79694,79694,100,PCy3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
75902,75902,85,EPhos,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
78974,78974,85,iPrPhenCar-Phos,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
82766,82766,100,XPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
74942,74942,85,BippyPhos,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
82202,82202,100,tBuDavePhos,tAmOH,[Ni(COD)(DQ)],DIPEA,MeOH
85406,85406,100,EPhos,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
78398,78398,85,Amidolephos,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
86222,86222,100,(tBu)PhCPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
85262,85262,100,DavePhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
82382,82382,100,CyJohnPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
78206,78206,85,NPCy2-Phendolephos,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
78494,78494,85,PtBuPh2,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
84878,84878,100,RuPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
87710,87710,100,NPCy2-Phendolephos,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
75662,75662,85,DavePhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
84302,84302,100,AmPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
84830,84830,100,RuPhos,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
76238,76238,85,CPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
77918,77918,85,PCy2Ph,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
82334,82334,100,CyJohnPhos,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
